team,points,segment,event_points,double_attempt
home,60,3,20,0|0
home,60,3,20,0|0
home,60,3,20,0|0
away,20,11,20,0|0
away,19,10,19,0|0
away,19,10,19,0|0
home,60,3,20,0|0
home,20,11,20,0|0
home,57,3,19,0|0
away,60,3,20,0|0
away,60,3,20,0|0
away,3,10,3,0|0
home,15,3,5,0|0
home,9,3,3,0|0
home,60,3,20,0|0
away,20,11,20,0|0
away,19,11,19,0|0
away,57,3,19,0|0
home,20,11,20,0|0
home,0,0,0,0|0
home,20,10,20,0|0
away,60,3,20,0|0
away,60,3,20,0|0
away,60,3,20,0|0
home,20,10,20,0|0
home,0,0,0,1|0
home,40,2,20,1|0
away,20,11,20,0|0
away,3,10,3,0|0
away,4,10,4,0|0
home,20,11,20,0|0
home,57,3,19,0|0
home,54,3,18,0|0
away,20,11,20,0|0
away,19,10,19,0|0
away,54,3,18,0|0
home,20,10,20,0|0
home,20,11,20,0|0
home,20,11,20,0|0
away,20,11,20,0|0
away,19,10,19,0|0
away,3,3,1,0|0
home,60,3,20,0|0
home,60,3,20,0|0
home,20,10,20,0|0
away,60,3,20,0|0
away,20,10,20,0|0
away,20,10,20,0|0
home,20,11,20,0|0
home,57,3,19,0|0
home,19,10,19,0|0
away,20,10,20,0|0
away,5,11,5,0|0
away,4,11,4,0|0
home,14,11,14,0|0
home,20,10,20,0|0
home,0,0,0,1|0
away,60,3,20,0|0
away,60,3,20,0|0
away,2,11,2,0|0
home,20,10,20,1|0
home,20,2,10,1|0
home,20,11,20,0|0
home,3,3,1,0|0
home,57,3,19,0|0
away,20,10,20,0|0
away,20,11,20,0|0
away,20,11,20,0|0
home,5,10,5,0|0
home,20,10,20,0|0
home,20,11,20,0|0
away,60,3,20,0|0
away,60,3,20,0|0
away,60,3,20,0|0
home,20,11,20,0|0
home,19,10,19,0|0
home,54,3,18,0|0
away,1,11,1,0|0
away,60,3,20,0|0
away,20,11,20,0|0
home,20,11,20,0|0
home,57,3,19,0|0
home,19,10,19,0|0
away,20,10,20,0|0
away,20,11,20,0|0
away,20,10,20,0|0
home,60,3,20,0|0
home,60,3,20,0|0
home,51,3,17,0|0
away,20,10,20,0|0
away,20,11,20,0|0
away,60,3,20,0|0
home,0,10,16,1|1
home,0,0,0,0|0
home,0,0,0,0|0
away,20,2,10,1|0
away,20,10,20,0|0
away,60,3,20,0|0
away,20,10,20,0|0
home,20,11,20,0|0
home,57,3,19,0|0
home,57,3,19,0|0
away,60,3,20,0|0
away,60,3,20,0|0
away,19,11,19,0|0
home,20,11,20,0|0
home,57,3,19,0|0
home,57,3,19,0|0
away,60,3,20,0|0
away,20,11,20,0|0
away,54,3,18,0|0
home,60,3,20,0|0
home,5,10,5,0|0
home,60,3,20,0|0
away,54,3,18,0|0
away,54,3,18,0|0
away,0,0,0,1|0
home,57,3,19,0|0
home,19,10,19,0|0
home,0,0,0,1|0
away,0,0,0,1|0
away,10,10,10,1|0
away,5,10,5,1|0
home,0,0,0,1|0
home,14,2,7,1|0
home,9,10,9,1|0
away,1,10,1,0|0
away,2,10,2,1|0
away,2,2,1,1|0
home,60,3,20,0|0
home,60,3,20,0|0
home,60,3,20,0|0
away,20,10,20,0|0
away,20,11,20,0|0
away,19,10,19,0|0
home,60,3,20,0|0
home,20,11,20,0|0
home,20,10,20,0|0
away,20,11,20,0|0
